Partners,Player_1,Player_2,Span,Inns,NO,Runs,High,Ave,Fifties,Hundreds
"D Brevis, S Dube",D Brevis, S Dube,2025-2025,3,0,166,67,55.33,2,0
"DJ Bravo, SK Raina",DJ Bravo, SK Raina,2012-2018,5,1,165,62,41.25,1,0
"S Dube, RV Uthappa",S Dube, RV Uthappa,2022-2022,1,0,165,165,165,0,1
"JA Morkel, M Vijay",JA Morkel, M Vijay,2010-2012,2,0,162,152,81,0,1
"MM Ali, AT Rayudu",MM Ali, AT Rayudu,2021-2023,6,0,161,62,26.83,1,0
"SM Curran, RA Jadeja",SM Curran, RA Jadeja,2020-2025,6,1,158,51,31.6,1,0
"MS Dhoni, M Vijay",MS Dhoni, M Vijay,2009-2013,8,0,146,38,18.25,0,0
"MM Ali, S Dube",MM Ali, S Dube,2022-2024,6,0,135,51,22.5,1,0
"MM Ali, RA Jadeja",MM Ali, RA Jadeja,2022-2024,5,0,133,51,26.6,1,0
"F du Plessis, KM Jadhav",F du Plessis, KM Jadhav,2019-2020,4,1,131,54,43.66,1,0
"M Vijay, SR Watson",M Vijay, SR Watson,2018-2020,6,0,130,56,21.66,1,0
"R Ashwin, MS Dhoni",R Ashwin, MS Dhoni,2011-2015,6,1,128,41,25.6,0,0
"RA Jadeja, A Mhatre",RA Jadeja, A Mhatre,2025-2025,2,0,122,114,61,0,1
"MS Dhoni, BB McCullum",MS Dhoni, BB McCullum,2014-2015,3,1,120,63,60,1,0
"MS Dhoni, P Negi",MS Dhoni, P Negi,2015-2015,7,0,119,54,17,1,0
"MS Dhoni, KM Jadhav",MS Dhoni, KM Jadhav,2018-2020,5,0,118,54,23.6,1,0
"AM Rahane, R Ravindra",AM Rahane, R Ravindra,2024-2024,6,0,117,66,19.5,1,0
"MM Ali, DJ Mitchell",MM Ali, DJ Mitchell,2024-2024,2,0,115,109,57.5,0,1
"D Brevis, RA Jadeja",D Brevis, RA Jadeja,2025-2025,5,0,113,74,22.6,1,0
"A Mhatre, SK Rasheed",A Mhatre, SK Rasheed,2025-2025,4,0,113,51,28.25,1,0
"SW Billings, MS Dhoni",SW Billings, MS Dhoni,2018-2018,3,0,112,55,37.33,2,0
"S Badrinath, RA Jadeja",S Badrinath, RA Jadeja,2012-2013,6,0,110,46,18.33,0,0
"MS Dhoni, DJ Hussey",MS Dhoni, DJ Hussey,2014-2014,2,1,110,108*,110,0,1
"R Ashwin, RA Jadeja",R Ashwin, RA Jadeja,2012-2025,8,2,108,39*,18,0,0
"MM Ali, SK Raina",MM Ali, SK Raina,2021-2021,3,0,105,53,35,1,0
"S Dube, DJ Mitchell",S Dube, DJ Mitchell,2024-2024,4,0,104,57,26,1,0
"GJ Bailey, PA Patel",GJ Bailey, PA Patel,2009-2009,2,0,99,59,49.5,1,0
"MM Ali, RV Uthappa",MM Ali, RV Uthappa,2021-2022,4,0,97,56,24.25,1,0
"DJ Mitchell, AM Rahane",DJ Mitchell, AM Rahane,2024-2024,2,0,96,68,48,1,0
"DJ Bravo, M Vijay",DJ Bravo, M Vijay,2012-2019,4,0,95,39,23.75,0,0
"PA Patel, S Vidyut",PA Patel, S Vidyut,2008-2008,3,0,95,42,31.66,0,0
