Partners,Player_1,Player_2,Span,Inns,NO,Runs,High,Ave,Fifties,Hundreds
"SW Billings, SR Watson",SW Billings, SR Watson,2018-2018,1,0,10,10,10,0,0
"C Ganapathy, SK Raina",C Ganapathy, SK Raina,2010-2010,1,1,10,10*,-,0,0
"Imran Tahir, KM Jadhav",Imran Tahir, KM Jadhav,2018-2018,1,1,10,10*,-,0,0
"SK Raina, S Vidyut",SK Raina, S Vidyut,2008-2008,2,0,10,10,5,0,0
"R Ashwin, KMDN Kulasekara",R Ashwin, KMDN Kulasekara,2012-2012,1,1,9,9*,-,0,0
"R Ashwin, JDP Oram",R Ashwin, JDP Oram,2009-2009,1,0,9,9,9,0,0
"F du Plessis, MM Sharma",F du Plessis, MM Sharma,2015-2015,1,0,9,9,9,0,0
"MS Gony, JDP Oram",MS Gony, JDP Oram,2009-2009,2,1,9,9,9,0,0
"ML Hayden, JDP Oram",ML Hayden, JDP Oram,2009-2009,2,0,9,8,4.5,0,0
"JA Morkel, CH Morris",JA Morkel, CH Morris,2013-2013,1,0,9,9,9,0,0
"MS Dhoni, PA Patel",MS Dhoni, PA Patel,2009-2009,1,0,8,8,8,0,0
"RA Jadeja, D Pretorius",RA Jadeja, D Pretorius,2022-2022,1,1,8,8*,-,0,0
"S Anirudha, DJ Bravo",S Anirudha, DJ Bravo,2012-2012,1,0,7,7,7,0,0
"S Badrinath, Joginder Sharma",S Badrinath, Joginder Sharma,2008-2011,2,1,7,6*,7,0,0
"S Badrinath, PA Patel",S Badrinath, PA Patel,2010-2010,1,0,7,7,7,0,0
"L Balaji, SB Jakati",L Balaji, SB Jakati,2009-2009,2,0,7,7,3.5,0,0
"DJ Bravo, CJ Jordan",DJ Bravo, CJ Jordan,2022-2022,1,1,7,7*,-,0,0
"S Dube, DJ Hooda",S Dube, DJ Hooda,2025-2025,3,0,7,4,2.33,0,0
"P Negi, MM Sharma",P Negi, MM Sharma,2015-2015,2,0,7,6,3.5,0,0
"DJ Bravo, SN Thakur",DJ Bravo, SN Thakur,2021-2021,1,0,6,6,6,0,0
"MS Dhoni, R Ravindra",MS Dhoni, R Ravindra,2025-2025,1,1,6,6*,-,0,0
"S Dube, RA Tripathi",S Dube, RA Tripathi,2025-2025,1,0,6,6,6,0,0
"Imran Tahir, MJ Santner",Imran Tahir, MJ Santner,2019-2019,1,0,6,6,6,0,0
"RA Jadeja, SK Rasheed",RA Jadeja, SK Rasheed,2025-2025,1,0,6,6,6,0,0
"S Anirudha, M Vijay",S Anirudha, M Vijay,2011-2013,3,0,5,5,1.66,0,0
"KB Arun Karthik, T Thushara",KB Arun Karthik, T Thushara,2010-2010,1,1,5,5*,-,0,0
"R Ashwin, S Dube",R Ashwin, S Dube,2025-2025,1,0,5,5,5,0,0
"R Ashwin, SB Jakati",R Ashwin, SB Jakati,2010-2010,1,1,5,5*,-,0,0
"S Badrinath, L Balaji",S Badrinath, L Balaji,2010-2010,1,0,5,5,5,0,0
"S Badrinath, WP Saha",S Badrinath, WP Saha,2011-2011,1,0,5,5,5,0,0
"L Balaji, T Thushara",L Balaji, T Thushara,2009-2009,1,0,5,5,5,0,0
"DJ Bravo, AT Rayudu",DJ Bravo, AT Rayudu,2019-2019,1,1,5,5*,-,0,0
"CJ Jordan, Mukesh Choudhary",CJ Jordan, Mukesh Choudhary,2022-2022,1,0,5,5,5,0,0
"RG More, A Nehra",RG More, A Nehra,2015-2015,1,1,5,5*,-,0,0
"KK Ahmed, S Dube",KK Ahmed, S Dube,2025-2025,1,0,4,4,4,0,0
"KB Arun Karthik, JA Morkel",KB Arun Karthik, JA Morkel,2010-2010,1,0,4,4,4,0,0
"MS Dhoni, KV Sharma",MS Dhoni, KV Sharma,2018-2018,1,1,4,4*,-,0,0
"S Dube, Noor Ahmad",S Dube, Noor Ahmad,2025-2025,2,0,4,4,2,0,0
"F du Plessis, A Nehra",F du Plessis, A Nehra,2015-2015,1,1,4,4*,-,0,0
"BW Hilfenhaus, M Manhas",BW Hilfenhaus, M Manhas,2014-2014,1,1,4,4*,-,0,0
"KMDN Kulasekara, JA Morkel",KMDN Kulasekara, JA Morkel,2012-2012,1,0,4,4,4,0,0
"MJ Santner, Simarjeet Singh",MJ Santner, Simarjeet Singh,2022-2022,1,1,4,4*,-,0,0
"MM Ali, N Jagadeesan",MM Ali, N Jagadeesan,2022-2022,1,0,3,3,3,0,0
"S Badrinath, S Randiv",S Badrinath, S Randiv,2011-2011,1,0,3,3,3,0,0
"TU Deshpande, RJ Gleeson",TU Deshpande, RJ Gleeson,2024-2024,1,1,3,3*,-,0,0
"MS Dhoni, AM Rahane",MS Dhoni, AM Rahane,2023-2023,1,1,3,3*,-,0,0
"DJ Hooda, A Kamboj",DJ Hooda, A Kamboj,2025-2025,1,0,3,3,3,0,0
"DJ Hooda, Noor Ahmad",DJ Hooda, Noor Ahmad,2025-2025,1,0,3,3,3,0,0
"RA Jadeja, Sameer Rizvi",RA Jadeja, Sameer Rizvi,2024-2024,1,0,3,3,3,0,0
"N Jagadeesan, MJ Santner",N Jagadeesan, MJ Santner,2022-2022,1,1,3,3*,-,0,0
"M Ntini, SK Raina",M Ntini, SK Raina,2008-2008,1,1,3,3*,-,0,0
"L Balaji, M Muralidaran",L Balaji, M Muralidaran,2009-2009,1,1,2,2*,-,0,0
"L Balaji, SK Raina",L Balaji, SK Raina,2008-2008,1,0,2,2,2,0,0
"DL Chahar, MS Dhoni",DL Chahar, MS Dhoni,2023-2023,1,0,2,2,2,0,0
"DL Chahar, MJ Santner",DL Chahar, MJ Santner,2019-2019,1,0,2,2,2,0,0
"MS Dhoni, DR Shorey",MS Dhoni, DR Shorey,2018-2018,1,0,2,2,2,0,0
"MS Dhoni, Simarjeet Singh",MS Dhoni, Simarjeet Singh,2022-2022,1,0,2,2,2,0,0
"Harbhajan Singh, MJ Santner",Harbhajan Singh, MJ Santner,2019-2019,1,0,2,2,2,0,0
"MEK Hussey, BB McCullum",MEK Hussey, BB McCullum,2015-2015,1,0,2,2,2,0,0
"RA Jadeja, RA Tripathi",RA Jadeja, RA Tripathi,2025-2025,1,0,2,2,2,0,0
"SB Jakati, JA Morkel",SB Jakati, JA Morkel,2012-2012,1,1,2,2*,-,0,0
"SB Jakati, T Thushara",SB Jakati, T Thushara,2010-2010,1,0,2,2,2,0,0
"Joginder Sharma, T Thushara",Joginder Sharma, T Thushara,2009-2009,1,1,2,2*,-,0,0
"A Kamboj, Noor Ahmad",A Kamboj, Noor Ahmad,2025-2025,1,1,2,2*,-,0,0
"JA Morkel, M Muralidaran",JA Morkel, M Muralidaran,2009-2010,2,1,2,1*,2,0,0
"DP Nannes, AS Rajpoot",DP Nannes, AS Rajpoot,2013-2013,1,1,2,2*,-,0,0
"AT Rayudu, MJ Santner",AT Rayudu, MJ Santner,2023-2023,1,1,2,2*,-,0,0
"R Ashwin, SK Raina",R Ashwin, SK Raina,2010-2010,1,0,1,1,1,0,0
"S Badrinath, JM Kemp",S Badrinath, JM Kemp,2010-2010,1,0,1,1,1,0,0
"DL Chahar, TU Deshpande",DL Chahar, TU Deshpande,2023-2023,1,1,1,1*,-,0,0
"MS Dhoni, M Theekshana",MS Dhoni, M Theekshana,2022-2022,1,0,1,1,1,0,0
"S Dube, N Jagadeesan",S Dube, N Jagadeesan,2022-2022,1,0,1,1,1,0,0
"F du Plessis, P Negi",F du Plessis, P Negi,2015-2015,1,0,1,1,1,0,0
"RA Jadeja, SB Jakati",RA Jadeja, SB Jakati,2012-2012,1,0,1,1,1,0,0
"SB Jakati, S Tyagi",SB Jakati, S Tyagi,2009-2009,1,0,1,1,1,0,0
"M Muralidaran, S Tyagi",M Muralidaran, S Tyagi,2009-2009,1,0,1,1,1,0,0
"A Nehra, MM Sharma",A Nehra, MM Sharma,2015-2015,3,0,1,1,0.33,0,0
"PA Patel, M Vijay",PA Patel, M Vijay,2010-2010,1,0,1,1,1,0,0
"MM Ali, MJ Santner",MM Ali, MJ Santner,2022-2022,1,0,0,0,0,0,0
"R Ashwin, L Balaji",R Ashwin, L Balaji,2010-2010,1,1,0,0*,-,0,0
"S Badrinath, CK Kapugedera",S Badrinath, CK Kapugedera,2008-2008,2,0,0,0,0,0,0
"SM Curran, KM Jadhav",SM Curran, KM Jadhav,2020-2020,1,0,0,0,0,0,0
"MS Dhoni, RV Uthappa",MS Dhoni, RV Uthappa,2022-2022,1,0,0,0,0,0,0
"S Dube, Sameer Rizvi",S Dube, Sameer Rizvi,2024-2024,1,0,0,0,0,0,0
"F du Plessis, N Jagadeesan",F du Plessis, N Jagadeesan,2020-2020,1,0,0,0,0,0,0
"MS Gony, A Mukund",MS Gony, A Mukund,2008-2008,1,0,0,0,0,0,0
"MS Gony, M Muralidaran",MS Gony, M Muralidaran,2008-2008,1,0,0,0,0,0,0
"DJ Hussey, RA Jadeja",DJ Hussey, RA Jadeja,2014-2014,1,0,0,0,0,0,0
"SB Jakati, JDP Oram",SB Jakati, JDP Oram,2009-2009,1,0,0,0,0,0,0
"A Mhatre, UM Patel",A Mhatre, UM Patel,2025-2025,1,0,0,0,0,0,0
