Winner,Result,Margin,BR,col5,Match,Ground,Start Date,Scorecard
CSK,won,5 wickets,0,,KKR v CSK,Eden Gardens,14-May-12,Scorecard
Kings XI,won,6 wickets,21,,Kings XI v CSK,Dharamsala,17-May-12,Scorecard
CSK,won,38 runs,,,CSK v MI,Bengaluru,23-May-12,Scorecard
CSK,won,86 runs,,,CSK v Daredevils,Chennai,25-May-12,Scorecard
KKR,won,5 wickets,2,,CSK v KKR,Chennai,27-May-12,Scorecard
MI,won,9 runs,,,CSK v MI,Chennai,06-Apr-13,Scorecard
CSK,won,10 wickets,16,,Kings XI v CSK,Mohali,10-Apr-13,Scorecard
CSK,won,4 wickets,1,,CSK v RCB,Chennai,13-Apr-13,Scorecard
Warriors,won,24 runs,,,CSK v Warriors,Chennai,15-Apr-13,Scorecard
CSK,won,86 runs,,,Daredevils v CSK,Delhi,18-Apr-13,Scorecard
CSK,won,4 wickets,5,,KKR v CSK,Eden Gardens,20-Apr-13,Scorecard
CSK,won,5 wickets,1,,CSK v RR,Chennai,22-Apr-13,Scorecard
CSK,won,5 wickets,2,,CSK v SRH,Chennai,25-Apr-13,Scorecard
CSK,won,14 runs,,,CSK v KKR,Chennai,28-Apr-13,Scorecard
CSK,won,37 runs,,,Warriors v CSK,Pune,30-Apr-13,Scorecard
CSK,won,15 runs,,,CSK v Kings XI,Chennai,02-May-13,Scorecard
MI,won,60 runs,,,MI v CSK,Wankhede,05-May-13,Scorecard
CSK,won,77 runs,,,SRH v CSK,Hyderabad,08-May-13,Scorecard
RR,won,5 wickets,17,,RR v CSK,Jaipur,12-May-13,Scorecard
CSK,won,33 runs,,,CSK v Daredevils,Chennai,14-May-13,Scorecard
RCB,won,24 runs,,,RCB v CSK,Bengaluru,18-May-13,Scorecard
CSK,won,48 runs,,,CSK v MI,Delhi,21-May-13,Scorecard
MI,won,23 runs,,,CSK v MI,Eden Gardens,26-May-13,Scorecard
Kings XI,won,6 wickets,7,,CSK v Kings XI,Abu Dhabi,18-Apr-14,Scorecard
CSK,won,93 runs,,,CSK v Daredevils,Abu Dhabi,21-Apr-14,Scorecard
CSK,won,7 runs,,,RR v CSK,Dubai (DICS),23-Apr-14,Scorecard
CSK,won,7 wickets,6,,CSK v MI,Dubai (DICS),25-Apr-14,Scorecard
CSK,won,5 wickets,3,,SRH v CSK,Sharjah,27-Apr-14,Scorecard
CSK,won,34 runs,,,CSK v KKR,Ranchi,02-May-14,Scorecard
